nom,prix,type,annee,kilometrage,localisation
International 4200,Pas de prix,Boom / Crane / Bucket Trucks,2006,39578,"Morris, Illinois,  US"
Sterling LT9500,Pas de prix,Box trucks,2008,207099,"Morris, Illinois,  US"
Hino 155,Pas de prix,Box trucks,2020,Non spécifié,"Morris, Illinois,  US"
Ford F-450,Pas de prix,Dump Trucks,2021,34524,"Morris, Illinois,  US"
Freightliner M2 106,Pas de prix,Box trucks,2019,41504,"Morris, Illinois,  US"
Mack CL713,Pas de prix,Dump Trucks,2002,128221,"Morris, Illinois,  US"
Peterbilt 567,"80,000 USD",Dump Trucks,2018,Non spécifié,"Smithfield, Pennsylvania,  US"
Freightliner M2 106,"18,800 USD",Flatbed Trucks,2014,Non spécifié,"Lebanon, Tennessee,  US"
Peterbilt 365,"60,000 USD",Car Haulers,2017,Non spécifié,"Marysville, Ohio,  US"
Chevrolet 4500 14' Box Truck With Walk Ramp,"49,500 USD",Box trucks,2023,34746,"Denver, Colorado,  US"
"Chevrolet 6500 XD 24' Box Truck with 3,300lb Lift Gate","99,500 USD",Box trucks,2024,5345,"Denver, Colorado,  US"
Peterbilt 365,"60,000 USD",Car Haulers,2014,Non spécifié,"Marysville, Ohio,  US"
International 4300,On Request,Hook lift trucks,2011,Non spécifié,"Odessa, Missouri,  US"
Hino 195,On Request,Hook lift trucks,2020,232701,"Nextran Truck Centers - Orlando, FL"
Mack MD6 42R,"59,995 USD",Box trucks,2022,122435,"Nextran Truck Centers - Fort Lauderdale, FL"
Chevrolet W4500,"49,900 USD",Box trucks,2024,36010,"Middletown, Connecticut,  US"
Mack MD6 42R,"64,995 USD",Box trucks,2022,70077,"Nextran Truck Centers - Fort Lauderdale, FL"
Isuzu NPR-1F104,On Request,Cab & Chassis Trucks,2027,Non spécifié,"Jacksonville, Florida,  US"
Kenworth T 800,"136,750 USD",Dump Trucks,2019,140000,"Greer, South Carolina,  US"
Kenworth T 880,"109,750 USD",Dump Trucks,2016,385000,"Greer, South Carolina,  US"
Freightliner 114SD,"59,500 USD",Flatbed Trucks,2016,144684,"Hatfield, Pennsylvania,  US"
Peterbilt 367,"118,750 USD",Dump Trucks,2016,452000,"Greer, South Carolina,  US"
International 4300,Pas de prix,Box trucks,2020,116022,"North East, Maryland,  US"
International F-4900,Pas de prix,Flatbed Trucks,1996,323064,"North East, Maryland,  US"
Freightliner 114SD,Pas de prix,Flatbed Trucks,2019,166493,"North East, Maryland,  US"
International 7500,Pas de prix,Flatbed Trucks,2006,406612,"North East, Maryland,  US"
Mack GR64B,Pas de prix,Concrete Trucks,2023,47499,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2014,382765,"Davenport, Florida,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,235246,"Davenport, Florida,  US"
