titre,prix,annee,km,pays,type,modele,lien
MAN TGS 35.420 8X2-6 Haken/ Silo M-TEC HLS 20,Company,2020,"129,059 miles",Germany,Hook lift trucks,MAN TGS 35.420 8X2-6 Haken/ Silo M-TEC HLS 20,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-35-420-8x2-6-haken-silo-m-tec-hls-20/fg9len9t.html
MAN TGS 18.400 4x4 HIAB 144 E-5 Hipro Crane Kipper,Company,2008,"95,776 miles",Poland,Dump Trucks,MAN TGS 18.400 4x4 HIAB 144 E-5 Hipro Crane Kipper,https://www.mascus.com/transportation/tipper-trucks/man-tgs-18-400-4x4-hiab-144-e-5-hipro-crane-kipper/ap3n3kfj.html
Mercedes-Benz 4153,Company,2018,,Denmark,Boom / Crane / Bucket Trucks,Mercedes-Benz 4153,https://www.mascus.com/transportation/crane-trucks/mercedes-benz-4153/5n3p4o6o.html
Ford F-550,Company,2017,"236,905 miles",United States,Box trucks,Ford F-550,https://www.mascus.com/transportation/box-body-trucks/ford-f-550/gpiscndr.html
Mercedes-Benz Actros 1848 4X2 FMS Truck Transporter Full Air Sus,Company,2018,"627,308 miles",Netherlands,Car Haulers,Mercedes-Benz Actros 1848 4X2 FMS Truck transporter Full Air sus,https://www.mascus.com/transportation/vehicle-transporters/mercedes-benz-actros-1848-4x2-fms-truck-transporter-full-air-sus/5ubh3tbf.html
Scania R 560 LB6X2HSZ - FULL STEEL,Company,2012,"398,330 miles",Estonia,Hook lift trucks,Scania R 560 LB6X2HSZ - FULL STEEL,https://www.mascus.com/transportation/hook-lift-trucks/scania-r-560-lb6x2hsz-full-steel/8helafhl.html
Chevrolet 3500,Company,2017,"66,101 miles",United States,Other Trucks,Chevrolet 3500,https://www.mascus.com/transportation/other-trucks/chevrolet-3500/fu9jcs8t.html
International LT,Company,2020,"589,001 miles",United States,Other Trucks,International LT,https://www.mascus.com/transportation/other-trucks/international-lt/fhitbm6u.html
Mercedes-Benz Arocs 2553 L 6x2 HMF KRAN 2820 JOAB L20,Company,2025,,Sweden,Boom / Crane / Bucket Trucks,Mercedes-Benz Arocs 2553 L 6x2 HMF KRAN 2820 JOAB L20,https://www.mascus.com/transportation/crane-trucks/mercedes-benz-arocs-2553-l-6x2-hmf-kran-2820-joab-l20/3hfjbp9r.html
Peterbilt 348,Company,2018,"47,179 miles",Canada,Boom / Crane / Bucket Trucks,Peterbilt 348,https://www.mascus.com/transportation/crane-trucks/peterbilt-348/6i9gdifu.html
Renault Mascott 150DXi,Company,2009,"180,066 miles",France,Dump Trucks,Renault Mascott 150DXi,https://www.mascus.com/transportation/tipper-trucks/renault-mascott-150dxi/9l4n3pho.html
Volvo FH 13,Company,2019,"683,757 miles",Finland,Cab & Chassis Trucks,Volvo FH 13,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fh-13/5k6ngm4h.html
MAN TGS 26.330 6X2-4 BL Neu/ New,Company,2026,715 miles,Germany,Cab & Chassis Trucks,MAN TGS 26.330 6X2-4 BL Neu/ New,https://www.mascus.com/transportation/chassis-cab-trucks/man-tgs-26-330-6x2-4-bl-neu-new/hgigfhfh.html
Iveco Eurocargo 120E21 Euro 6 + Lift + Lot In Stock,Company,2018,"377,866 miles",Netherlands,Box trucks,Iveco Eurocargo 120E21 euro 6 + lift + lot in stock,https://www.mascus.com/transportation/box-body-trucks/iveco-eurocargo-120e21-euro-6-lift-lot-in-stock/9lfj5jeh.html
Scania Fäste/Balk 2424803,Company,,,Sweden,Other Trucks,Scania fäste/balk 2424803,https://www.mascus.com/transportation/other-trucks/scania-faste-balk-2424803/aqii4i8r.html
"RAM 3500 Service/Utility, Gas, Auto, 4x4",Company,2023,"5,495 miles",United States,Other Trucks,"RAM 3500 Service/Utility, Gas, Auto, 4x4",https://www.mascus.com/transportation/other-trucks/ram-3500-service-utility-gas-auto-4x4/7peudubp.html
Mercedes-Benz Actros 3348 Kipper 6x4 Manual Gearbox V8 Big Axle',Company,1998,"287,319 miles",Netherlands,Dump Trucks,Mercedes-Benz Actros 3348 Kipper 6x4 Manual Gearbox V8 Big Axle',https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-actros-3348-kipper-6x4-manual-gearbox-v8-big-axle/crhu8l3n.html
Volvo FMX 540 FMX 6X6 6x6 Palfinger Epsilon S260L87 Wood,Company,2023,"22,534 miles",Netherlands,Log trucks,Volvo FMX 540 FMX 6X6 6x6 Palfinger Epsilon S260L87 wood,https://www.mascus.com/transportation/timber-trucks/volvo-fmx-540-fmx-6x6-6x6-palfinger-epsilon-s260l87-wood/hu3oegam.html
Freightliner M2 106,Company,2016,"200,873 miles",United States,Flatbed Trucks,Freightliner M2 106,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-m2-106/cmhi9nir.html
Mercedes-Benz 2533 6X2-4 Køl - Fridge - Kühl,Company,2019,"174,605 miles",Denmark,Reefer Trucks,Mercedes-Benz 2533 6X2-4 Køl - Fridge - Kühl,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-2533-6x2-4-kol-fridge-kuhl/bibo9fer.html
MAN TGX 18.400 XLX+HAYON,Company,2021,"96,933 miles",Belgium,Curtain Side Trucks,MAN TGX 18.400 XLX+HAYON,https://www.mascus.com/transportation/curtainsider-trucks/man-tgx-18-400-xlx-hayon/gnhg8j6u.html
MAN TGL 12.190 4X2 Thermo King V-800 MAX Spectrum 1500,Company,2017,"249,060 miles",Netherlands,Reefer Trucks,MAN TGL 12.190 4X2 Thermo King V-800 MAX Spectrum 1500,https://www.mascus.com/transportation/temperature-controlled-trucks/man-tgl-12-190-4x2-thermo-king-v-800-max-spectrum-1500/hliuik7m.html
MAN TGS 41.460,Company,2018,"89,969 miles",Poland,Dump Trucks,MAN TGS 41.460,https://www.mascus.com/transportation/tipper-trucks/man-tgs-41-460/4r4q6h9f.html
Mack CL700,Company,1998,,United States,Dump Trucks,Mack CL700,https://www.mascus.com/transportation/tipper-trucks/mack-cl700/8pbhdtiu.html
Ford F-650,Company,2021,"111,280 miles",Canada,Box trucks,Ford F-650,https://www.mascus.com/transportation/box-body-trucks/ford-f-650/4kdlhugr.html
502 Bad Gateway,,,,,,,https://www.mascus.com/transportation/temperature-controlled-trucks/man-tgl-8-220-manual-euro-6-lift/8i7r8i5o.html
MAN TGA 33.410 BB,Company,2002,"191,260 miles",Belgium,Hook lift trucks,MAN TGA 33.410 BB,https://www.mascus.com/transportation/hook-lift-trucks/man-tga-33-410-bb/8kis7ucp.html
"Mercedes-Benz Actros 2644 6x4, Retarder, Full Steel",Company,2009,"87,303 miles",Germany,Cab & Chassis Trucks,"Mercedes-Benz Actros 2644 6x4, Retarder, Full Steel",https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-actros-2644-6x4-retarder-full-steel/8l5i5tbn.html
Berger M Nosič Kontajnerov VIN 505,Company,2007,,Slovak Republic,Container Trucks,Berger M nosič kontajnerov VIN 505,https://www.mascus.com/transportation/containerframe-trucks/berger-m-nosic-kontajnerov-vin-505/8g7hgofq.html
Mercedes-Benz Atego 1218 LL Pritsche/Plattform|3Sitze*AHK*EUR6,Company,2014,"109,138 miles",Germany,Flatbed Trucks,Mercedes-Benz Atego 1218 LL Pritsche/Plattform|3Sitze*AHK*EUR6,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-atego-1218-ll-pritsche-plattform-3sitze-ahk-eur6/9g8n7q7t.html
Renault 520 Palfinger PK 78002 + Jip PJ170,Company,2025,,Spain,Boom / Crane / Bucket Trucks,Renault 520 Palfinger PK 78002 + jip PJ170,https://www.mascus.com/transportation/crane-trucks/renault-520-palfinger-pk-78002-jip-pj170/cj6q9gio.html
MAN TGS 26.480 MAN TGS 26.480 6x2 Abrollkipper + Kran,Company,2025,,Germany,Hook lift trucks,MAN TGS 26.480 MAN TGS 26.480 6x2 Abrollkipper + Kran,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-26-480-man-tgs-26-480-6x2-abrollkipper-kran/5h7tes5f.html
MAN TGL / 12.250 / SKRZYNIOWY + HDS / FASSI F 65 / P,Company,2013,"93,206 miles",Poland,Boom / Crane / Bucket Trucks,MAN TGL / 12.250 / SKRZYNIOWY + HDS / FASSI F 65 / P,https://www.mascus.com/transportation/crane-trucks/man-tgl-12-250-skrzyniowy-hds-fassi-f-65-p/gj7qeuco.html
DAF FAS CF 430 Euro 6 VDL 25 Ton Haakarmsysteem,Company,2022,"51,341 miles",Netherlands,Hook lift trucks,DAF FAS CF 430 Euro 6 VDL 25 Ton haakarmsysteem,https://www.mascus.com/transportation/hook-lift-trucks/daf-fas-cf-430-euro-6-vdl-25-ton-haakarmsysteem/7hghggaj.html
Isuzu NQR,Company,2023,"65,100 miles",United States,Box trucks,Isuzu NQR,https://www.mascus.com/transportation/box-body-trucks/isuzu-nqr/9ucn3jfs.html
Scania P 500 6x2*4 9 TON FRONT AXLE / RETARDER,Company,2020,"178,551 miles",Estonia,Cab & Chassis Trucks,Scania P 500 6x2*4 9 TON FRONT AXLE / RETARDER,https://www.mascus.com/transportation/chassis-cab-trucks/scania-p-500-6x2-4-9-ton-front-axle-retarder/as4l5pcm.html
International 4300,Company,2004,,United States,Box trucks,International 4300,https://www.mascus.com/transportation/box-body-trucks/international-4300/7shtbp6s.html
MAN TGS 36.400 8x4 Euro 6 HMF 22 Tonmeter Z-Kraan,Company,2016,"210,371 miles",Netherlands,Dump Trucks,MAN TGS 36.400 8x4 Euro 6 HMF 22 Tonmeter Z-kraan,https://www.mascus.com/transportation/tipper-trucks/man-tgs-36-400-8x4-euro-6-hmf-22-tonmeter-z-kraan/csgmflar.html
Ford Transit FT 460 L / Double Cab / Hiab Crane 026T /,Company,2009,"97,499 miles",Hungary,Flatbed Trucks,Ford Transit FT 460 L / Double Cab / Hiab Crane 026T /,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-transit-ft-460-l-double-cab-hiab-crane-026t/grhjbniq.html
Mercedes-Benz Atego 1323,Company,2000,"396,530 miles",Netherlands,Tank Trucks,Mercedes-Benz Atego 1323,https://www.mascus.com/transportation/tank-trucks/mercedes-benz-atego-1323/9tis6h4s.html
Scania R 580 LB6X4 HNB Manual 6x4 Full Air,Company,2006,"512,734 miles",Netherlands,Flatbed Trucks,Scania R 580 LB6X4 HNB Manual 6x4 full air,https://www.mascus.com/transportation/flatbed-dropside-trucks/scania-r-580-lb6x4-hnb-manual-6x4-full-air/hicr3maf.html
Freightliner M2-106 Crew Cab Chipper Truck,Company,2020,"11,870 miles",United States,Dump Trucks,Freightliner M2-106 Crew Cab Chipper Truck,https://www.mascus.com/transportation/tipper-trucks/freightliner-m2-106-crew-cab-chipper-truck/9jfobgij.html
MAN TGS 26.440 / Hiab XR21S56 / Hiab 166 D-3,Company,2012,"263,461 miles",Germany,Hook lift trucks,MAN TGS 26.440 / Hiab XR21S56 / Hiab 166 D-3,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-26-440-hiab-xr21s56-hiab-166-d-3/5nhf7l7k.html
Ford TRANSIT 350 HYBRID,Company,2021,"57,484 miles",Italy,Other Trucks,Ford TRANSIT 350 HYBRID,https://www.mascus.com/transportation/other-trucks/ford-transit-350-hybrid/cn4j7kbp.html
Ford F-750,Company,2013,"55,243 miles",United States,Dump Trucks,Ford F-750,https://www.mascus.com/transportation/tipper-trucks/ford-f-750/9sgjif8o.html
Mercedes-Benz ACTROS 2541 L 6X2,Company,2012,"317,374 miles",Czech Republic,Cab & Chassis Trucks,Mercedes-Benz ACTROS 2541 L 6X2,https://www.mascus.com/transportation/chassis-cab-trucks/mercedes-benz-actros-2541-l-6x2/cs8hbs8o.html
MAN 26.460 TGS MEILLER AK 16 NT,Company,2018,"134,228 miles",Netherlands,Skip loader trucks,MAN 26.460 TGS MEILLER AK 16 NT,https://www.mascus.com/transportation/skip-loader-trucks/man-26-460-tgs-meiller-ak-16-nt/ek9f3o6h.html
Iveco EUROTRAKKER 180EH25 4X4 Chassis,Company,2002,"201,324 miles",Slovenia,Cab & Chassis Trucks,Iveco EUROTRAKKER 180EH25 4X4 chassis,https://www.mascus.com/transportation/chassis-cab-trucks/iveco-eurotrakker-180eh25-4x4-chassis/ahft5tfk.html
Volvo FL 250 4X2 CARGO LOCK DHOLLANDIA 1500 KG,Company,2018,"232,758 miles",Netherlands,Box trucks,Volvo FL 250 4X2 CARGO LOCK DHOLLANDIA 1500 KG,https://www.mascus.com/transportation/box-body-trucks/volvo-fl-250-4x2-cargo-lock-dhollandia-1500-kg/et7l4kgo.html
Scania R500 6x2 Box Truck W/ 2 Temp Refrigerator/Freezer,Company,2012,"332,944 miles",Norway,Box trucks,Scania R500 6x2 box truck w/ 2 temp refrigerator/freezer,https://www.mascus.com/transportation/box-body-trucks/scania-r500-6x2-box-truck-w-2-temp-refrigerator-freezer/9i9tci5i.html
Mercedes-Benz Actros L 2848 6X2 HTS 30 Tons Cable System Lift-Ax,Company,2023,"59,992 miles",Netherlands,Hook lift trucks,Mercedes-Benz Actros L 2848 6X2 HTS 30 tons cable system Lift-Ax,https://www.mascus.com/transportation/hook-lift-trucks/mercedes-benz-actros-l-2848-6x2-hts-30-tons-cable-system-lift-ax/6p6uhlcu.html
Hubiere 500 L Citerne A Eau 1 Essieu S/A Water Tank Traile,Company,0,,France,Other Trucks,Hubiere 500 L Citerne A Eau 1 Essieu S/A Water Tank Traile,https://www.mascus.com/transportation/other-trucks/hubiere-500-l-citerne-a-eau-1-essieu-s-a-water-tank-traile/6ohlhgil.html
Mercedes-Benz Atego 1221 – F-003,Company,2018,,Spain,Box trucks,Mercedes-Benz Atego 1221 – F-003,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-atego-1221-f-003/fgagfrgr.html
Mercedes-Benz AROCS 2646 963 6x6,Company,2017,"231,771 miles",Poland,Dump Trucks,Mercedes-Benz AROCS 2646 963 6x6,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-2646-963-6x6/8hbsgn4r.html
Freightliner M2 106,Company,2019,"282,655 miles",United States,Box trucks,Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/8tdm3ugr.html
Scania R500 6x2 NGS CR20H 25 M3 Silo Euro 6,Company,2020,"412,590 miles",Denmark,Tank Trucks,Scania R500 6x2 NGS CR20H 25 m3 Silo Euro 6,https://www.mascus.com/transportation/tank-trucks/scania-r500-6x2-ngs-cr20h-25-m3-silo-euro-6/di9u9mil.html
International MV,Company,2027,185 miles,Canada,Tank Trucks,International MV,https://www.mascus.com/transportation/tank-trucks/international-mv/fqcuefih.html
Mercedes-Benz Arocs MP5 3353 6X6 BB Holztranspor Kran Penz 12Z,Company,2020,"191,382 miles",Austria,Log trucks,Mercedes-Benz Arocs MP5 3353 6X6 BB Holztranspor Kran Penz 12Z,https://www.mascus.com/transportation/timber-trucks/mercedes-benz-arocs-mp5-3353-6x6-bb-holztranspor-kran-penz-12z/3r3ncuco.html
Freightliner M2 112,Company,2019,"547,762 miles",United States,Reefer Trucks,Freightliner M2 112,https://www.mascus.com/transportation/temperature-controlled-trucks/freightliner-m2-112/hk8k9l4u.html
Peterbilt 567,Company,2026,1 miles,United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/fj5q7r7p.html
Scania P,Company,2026,,United Kingdom,Dump Trucks,Scania P,https://www.mascus.com/transportation/tipper-trucks/scania-p/ctfg9tbg.html
Scania R 650 6x4 FOR SALE AS CHASSIS / RETARDER,Company,2019,"500,096 miles",Estonia,Cab & Chassis Trucks,Scania R 650 6x4 FOR SALE AS CHASSIS / RETARDER,https://www.mascus.com/transportation/chassis-cab-trucks/scania-r-650-6x4-for-sale-as-chassis-retarder/5i4u8h3f.html
MAN 27.422 6X6 Rotzler Winde Palfinger Kran,Company,1995,"50,740 miles",Germany,Curtain Side Trucks,MAN 27.422 6X6 Rotzler Winde Palfinger Kran,https://www.mascus.com/transportation/curtainsider-trucks/man-27-422-6x6-rotzler-winde-palfinger-kran/9qgj7fgu.html
MAN TGS 41.440 MAN TGS 41.440 8x4 Abrollkipper + Kran,Company,2025,,Germany,Hook lift trucks,MAN TGS 41.440 MAN TGS 41.440 8x4 Abrollkipper + Kran,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-41-440-man-tgs-41-440-8x4-abrollkipper-kran/3i9jhk5n.html
"RAM 3500HD Dump Truck, Hemi, Automatic, 4x4",Company,2019,"41,803 miles",United States,Dump Trucks,"RAM 3500HD Dump Truck, Hemi, Automatic, 4x4",https://www.mascus.com/transportation/tipper-trucks/ram-3500hd-dump-truck-hemi-automatic-4x4/cuhu4oft.html
Volvo FM 13 540,Company,2016,"674,993 miles",Finland,Tank Trucks,Volvo FM 13 540,https://www.mascus.com/transportation/tank-trucks/volvo-fm-13-540/fkafdk3o.html
MAN TGM 18.340 4x2 11&Apos;950L,Company,2011,"249,791 miles",Switzerland,Tank Trucks,MAN TGM 18.340 4x2 11'950L,https://www.mascus.com/transportation/tank-trucks/man-tgm-18-340-4x2-11-apos-950l/fughithn.html
Renault MASTER DCI 125,Company,2012,"134,663 miles",France,Dump Trucks,Renault MASTER DCI 125,https://www.mascus.com/transportation/tipper-trucks/renault-master-dci-125/6lgs5g3j.html
Ford F-650,Company,2000,,United States,Flatbed Trucks,Ford F-650,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-650/8qii6j4m.html
MAN TGM 15.250 / Carrier 1150 / Tail Lift,Company,2019,"193,246 miles",Hungary,Reefer Trucks,MAN TGM 15.250 / Carrier 1150 / tail lift,https://www.mascus.com/transportation/temperature-controlled-trucks/man-tgm-15-250-carrier-1150-tail-lift/dkalcq6p.html
Mercedes-Benz Arocs 2651 L 6x4 Palfinger Epsilon TZ12-98,Company,2026,311 miles,Germany,Log trucks,Mercedes-Benz Arocs 2651 L 6x4 Palfinger Epsilon TZ12-98,https://www.mascus.com/transportation/timber-trucks/mercedes-benz-arocs-2651-l-6x4-palfinger-epsilon-tz12-98/ii3tcsaq.html
Mercedes-Benz SPRINTER 516,Company,2015,"183,304 miles",Hungary,Other Trucks,Mercedes-Benz SPRINTER 516,https://www.mascus.com/transportation/other-trucks/mercedes-benz-sprinter-516/info8j7p.html
Iveco Daily 35S14,Company,2019,"235,480 miles",Hungary,Other Trucks,Iveco Daily 35S14,https://www.mascus.com/transportation/other-trucks/iveco-daily-35s14/7hcudn6n.html
Volvo FM12 380,Company,2003,,Portugal,Dump Trucks,Volvo FM12 380,https://www.mascus.com/transportation/tipper-trucks/volvo-fm12-380/ei3g7p3p.html
Ford F 550 XL SD,Company,2022,"24,424 miles",United States,Dump Trucks,Ford F 550 XL SD,https://www.mascus.com/transportation/tipper-trucks/ford-f-550-xl-sd/6r6t5odg.html
Volvo FH750 8x4,Company,2014,"342,997 miles",Finland,Hook lift trucks,Volvo FH750 8x4,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fh750-8x4/hthi5g8o.html
Aumont Benne Ampliroll Truck Dump Body,Company,2001,,France,Dump Trucks,Aumont Benne Ampliroll Truck Dump Body,https://www.mascus.com/transportation/tipper-trucks/aumont-benne-ampliroll-truck-dump-body/4nbk5i9h.html
Fuso Canter 9C18,Company,2019,"164,663 miles",Estonia,Hook lift trucks,Fuso Canter 9C18,https://www.mascus.com/transportation/hook-lift-trucks/fuso-canter-9c18/fuihfibu.html
International HV607 SBA,Company,2022,"16,300 miles",United States,Dump Trucks,International HV607 SBA,https://www.mascus.com/transportation/tipper-trucks/international-hv607-sba/9qbnfm6f.html
Ford F-550,Company,2012,"151,116 miles",United States,Flatbed Trucks,Ford F-550,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-550/eqcj7mfo.html
Mitsubishi Canter,Company,2006,118 miles,United Kingdom,Flatbed Trucks,Mitsubishi Canter,https://www.mascus.com/transportation/flatbed-dropside-trucks/mitsubishi-canter/5kir8m6h.html
"Volvo FM 460 8x4, Liftbare Antriebsachse",Company,2017,"261,616 miles",Germany,Hook lift trucks,"Volvo FM 460 8x4, Liftbare Antriebsachse",https://www.mascus.com/transportation/hook-lift-trucks/volvo-fm-460-8x4-liftbare-antriebsachse/5u3m8k6j.html
Scania P 114 Lastausauto,Company,2000,"268,147 miles",Finland,Boom / Crane / Bucket Trucks,Scania P 114 Lastausauto,https://www.mascus.com/transportation/crane-trucks/scania-p-114-lastausauto/ajdlirdk.html
International 4300,Company,2014,"229,298 miles",United States,Reefer Trucks,International 4300,https://www.mascus.com/transportation/temperature-controlled-trucks/international-4300/do5maoih.html
Mercedes-Benz Antos 2540,Company,2014,"266,623 miles",Germany,Box trucks,Mercedes-Benz Antos 2540,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-antos-2540/iqeobidt.html
Volvo FL250 42R 4x2 EURO6 + SIDE OPEN BOX,Company,2020,"50,378 miles",Estonia,Box trucks,Volvo FL250 42R 4x2 EURO6 + SIDE OPEN BOX,https://www.mascus.com/transportation/box-body-trucks/volvo-fl250-42r-4x2-euro6-side-open-box/gs8p5r7n.html
MAN TGM 13.250 3-Way Tipper,Company,2011,"97,843 miles",Hungary,Dump Trucks,MAN TGM 13.250 3-way tipper,https://www.mascus.com/transportation/tipper-trucks/man-tgm-13-250-3-way-tipper/5f5jfu6t.html
Volvo FH500 With Narko Trailer,Company,,,Sweden,Box trucks,Volvo FH500 with Narko trailer,https://www.mascus.com/transportation/box-body-trucks/volvo-fh500-with-narko-trailer/em4jgj5u.html
Renault C430.26 6X2,Company,2017,"335,540 miles",Spain,Demountable Trucks,Renault C430.26 6X2,https://www.mascus.com/transportation/demountables-trucks/renault-c430-26-6x2/6lejgudf.html
Mercedes-Benz AROCS 1851 4X4 ATLAS 190 4X HYD,Company,2015,"295,945 miles",Netherlands,Flatbed Trucks,Mercedes-Benz AROCS 1851 4X4 ATLAS 190 4X HYD,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-arocs-1851-4x4-atlas-190-4x-hyd/eicmgkfp.html
DAF CF85 410,Company,2012,"221,346 miles",France,Dump Trucks,DAF CF85 410,https://www.mascus.com/transportation/tipper-trucks/daf-cf85-410/9s4u8ham.html
